year,emissions_gtc,emissions_ppm,emissions_fossil_excl_cement_gtc,emissions_fossil_excl_cement_ppm,emissions_fossil_cement_gtc,emissions_fossil_cement_ppm,emissions_fossil_cement_luc_gtc,emissions_fossil_cement_luc_ppm,observed_law_dome_instrumental_spliced_ppm,observed_noaa_global_ppm,observed_noaa_mauna_loa_ppm
1915,2.099713090909091,0.9885654853620954,0.855735,0.40288841807909603,0.8578936363636365,0.4039047252182846,2.099713090909091,0.9885654853620954,301.0,,
1916,2.165144454545455,1.0193712121212122,0.9242937272727274,0.43516653826399593,0.9265958181818182,0.43625038520801235,2.165144454545455,1.0193712121212122,301.3,,
1917,2.1854288181818182,1.0289212891628146,0.9669534545454546,0.45525115562403695,0.969274090909091,0.45634373394966615,2.1854288181818182,1.0289212891628146,302.0692307692308,,
1918,2.160208090909091,1.0170471237801746,0.953847,0.44908050847457626,0.955624909090909,0.44991756548536205,2.160208090909091,1.0170471237801746,302.8384615384616,,
1919,2.024767363636364,0.9532803030303031,0.8267765454545455,0.3892544940934771,0.8287944545454545,0.3902045454545454,2.024767363636364,0.9532803030303031,303.6,,
1920,2.2694023636363636,1.0684568567026194,0.9641836363636364,0.45394709809964046,0.9666572727272728,0.4551117103235747,2.2694023636363636,1.0684568567026194,303.5,,
1921,2.208797181818182,1.039923343605547,0.8466452727272727,0.39860888546481765,0.8490834545454546,0.3997568053415511,2.208797181818182,1.039923343605547,303.4,,
1922,2.268787090909091,1.0681671802773498,0.8868679090909092,0.4175460965588084,0.8897173636363637,0.4188876476630714,2.268787090909091,1.0681671802773498,303.3,,
1923,2.418665181818182,1.1387312532100669,1.0057568181818182,0.47352015921931173,1.0091678181818182,0.47512609142270157,2.418665181818182,1.1387312532100669,303.2,,
1924,2.407454727272727,1.1334532614278374,1.0090489090909092,0.47507010785824344,1.012753090909091,0.476814072932717,2.407454727272727,1.1334532614278374,304.88571428571424,,
1925,2.450837454545454,1.1538782742681044,1.0153974545454545,0.4780590652285567,1.0193326363636364,0.47991178736517714,2.450837454545454,1.1538782742681044,304.1,,
1926,2.4383533636363635,1.1480006420133537,0.9980888181818183,0.46990998972778636,1.0021088181818183,0.471802645095018,2.4383533636363635,1.1480006420133537,304.8909090909091,,
1927,2.531247,1.1917358757062146,1.0894268181818183,0.5129128145865435,1.093639909090909,0.5148963790446841,2.531247,1.1917358757062146,304.9818181818182,,
1928,2.541831818181818,1.1967193117616846,1.079398090909091,0.5081911915767848,1.0891025454545455,0.5127601438109913,2.541831818181818,1.1967193117616846,305.7200000000001,,
1929,2.6366735454545456,1.2413717257318952,1.1586755454545457,0.5455157935285054,1.1687318181818183,0.5502503852080123,2.6366735454545456,1.2413717257318952,305.7,,
1930,2.561967545454546,1.2061994093477146,1.0691618181818183,0.5033718541345661,1.078860272727273,0.5079379815100155,2.561967545454546,1.2061994093477146,306.225,,
1931,2.4713991818181817,1.1635589368258858,0.9563432727272728,0.4502557781201849,0.9647689090909091,0.4542226502311248,2.4713991818181817,1.1635589368258858,306.75,,
1932,2.388165,1.1243714689265536,0.8636116363636362,0.4065968156137647,0.8703463636363635,0.4097675911658962,2.388165,1.1243714689265536,307.275,,
1933,2.4223759090909094,1.140478299948639,0.9101735454545454,0.4285186183872624,0.9166750909090909,0.4315796096558808,2.4223759090909094,1.140478299948639,307.8,,
1934,2.517001636363637,1.1850290190035955,0.9889249090909091,0.465595531587057,0.9967014545454547,0.4692568053415511,2.517001636363637,1.1850290190035955,307.6,,
1935,2.548713818181818,1.1999594247560348,1.036828090909091,0.48814881869542887,1.0455711818181819,0.4922651515151515,2.548713818181818,1.1999594247560348,309.2,,
1936,2.686439727272727,1.2648021314843347,1.1363724545454545,0.5350152799178223,1.146936818181818,0.539989085772984,2.686439727272727,1.2648021314843347,309.06666666666666,,
1937,2.7599830909090914,1.2994270672829997,1.2145080000000004,0.5718022598870058,1.2256363636363639,0.5770416024653313,2.7599830909090914,1.2994270672829997,308.2142857142857,,
1938,2.6981640000000002,1.2703220338983052,1.1424261818181818,0.5378654340010272,1.152931909090909,0.5428116332819721,2.6981640000000002,1.2703220338983052,309.6,,
1939,2.755327909090909,1.2972353620955315,1.2086214545454546,0.5690308166409861,1.2183466363636364,0.5736095274781715,2.755327909090909,1.2972353620955315,310.5,,
1940,2.8976839090909094,1.3642579609655883,1.3227283636363638,0.622753466872111,1.3313004545454548,0.6267892912172573,2.8976839090909094,1.3642579609655883,311.9,,
1941,2.968965272727272,1.39781792501284,1.3504808181818182,0.6358195942475603,1.362288,0.6413785310734462,2.968965272727272,1.39781792501284,310.5,,
